KEY;PROJECT;DESCRIPTION;DELIVERABLE;DUE_DATE;SAF;RWMD;RPHANS;SCI;NTE;OLC;DB;CNRA;CSNI;RWMC;CDLM;CRPPH;NLC;NDC;NSC;MBDAV;STATUS;SMR;Technology RDD;Water Cooled;Fast Spectrum;Micro;Molten Salt;Gas cooled;Land-based;Marine-based;Mobile;Multi-module;Policy;Legal;Safety and regulation;Security;Front-end of the fuel cycle;Back-end of the fuel cycle;Infrastructure;Supply Chain;Talent pipeline;Public Engagement;Economics and Financing;On-grid;Off-grid;Industrial heat;District heat;Potable water;Hydrogen and Synthetic Fuels;Marine Merchant Shipping
11;CSNI WGAMA activities of potential interest for SMRs. BENCHMARK: Final Report on the PERSEO benchmark exercise, volume 2;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;Completed;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;;;;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;
12;CSNI WGAMA activities of potential interest for SMRs. BENCHMARK: ISP on advanced core cooling mechanism experiments (ACME);To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;Ongoing completion TBC;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;;;;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;
13;CSNI WGAMA activities of potential interest for SMRs. BENCHMARK: Application Tests for Realisation of Inverse Uncertainty quantification and validation Methodologies in thermal-hydraulics (ATRIUM);To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;New completion TBC;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;;;;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;
14;CSNI WGAMA activities of potential interest for SMRs. WORKSHOP: WS on research needs to ensure core and containment cooling reliability in the long-term;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;Completed;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;;;;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;
15;CSNI WGAMA activities of potential interest for SMRs. WORKSHOP: Specialist Meeting on Transient Thermal Hydraulics in Water cooled reactors ;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;Planned December 2021;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;;;;;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;
16;CSNI WGAMA activities of potential interest for SMRs. CONFERENCE: Collaboration with ERMSAR2022 (European Review Meeting on Severe Accident Research);To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;Planned May 2022;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;
17;CSNI WGAMA activities of potential interest for SMRs. WORKSHOP: Reactor core and containment cooling systems: Long-term management and reliability (RCCS-2021).;To advance the understanding of accident phenomenology and address the safety-significant issues;TBC;18-20 October 2021;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;
18;CSNI WGRISK activities of potential interest for SMRs: Report “Site-Level (Including Multi-Unit) PSA”, NEA/CSNI/R(2019)16;To improve risk-informed regulation and safety management with uses of Probabilistic Safety Assessment (PSA);TBC;16 March 2021;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;
19;CSNI WGRISK activities of potential interest for SMRs: Report “Site-Level (Including Multi-Unit) PSA”, NEA/CSNI/R(2019)16: Joint NEA and IAEA International Symposium on PSA for Reactors of Singular Designs – hosted by Office for Nuclear Regulation (ONR) in Liverpool (UK) on 23-25 February 2022;To improve risk-informed regulation and safety management with uses of Probabilistic Safety Assessment (PSA);TBC;23-25 February 2022;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;;;;;;yes;;;;;;;;;;;;;;;
20;CSNI WGEV activities of potential interest for SMRs: WGEV Workshop on High Winds and Tornadoes – Hazard Assessment and Protection of Nuclear Installations in collaboration with the Korea Atomic Energy Research Institute (KAERI) - Daejeon, South Korea in March 2022;To improve the understanding and treatment of external hazards and to improve the effectiveness of regulatory practices;TBC;March 2022;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;;;yes;;;yes;;;;;;;;;;;;;;;
21;CSNI WGEV activities of potential interest for SMRs: WGEV Workshop on Sources of Uncertainties in the Assessment of Natural Hazards in May 2022;To improve the understanding and treatment of external hazards and to improve the effectiveness of regulatory practices;TBC;May 2022;yes;;;;;;;;yes;;;;;;;;Approved;Relevant;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;;;;
22;Joint project activities of potential interest for SMRs: FIRE Project: Potential activity to investigate if there are any specific aspects concerning fire protection and regulation that needs to be considered when SMRs and metal cooled reactors are in operation;TBC;TBC;TBC;yes;;;;;;;;yes;;;;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;
23;Joint project activities of potential interest for SMRs: PANDA new Project: experiments in the PSI PANDA facility addressing complex safety issues for current water reactors and small modular reactors;TBC;TBC;TBC;yes;;;;;;;;yes;;;;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;
24;International Workshop on the Implementation of Radioactive Waste Management Strategies in Small Modular Reactors (SMRs)/Advanced Reactor  technologies (Fall 2022 - dates still to be confirmed);"The topic has surfaced in the conversations during various events within the CDLM, RWMC and RF communities. The workshop will welcome participants from various fields of expertise, from Radioactive Waste Management, to Decommissioning, to Nuclear Science and Development, young professionals and researchers. 

The objective of the workshop is to devise a guideline document that will serve implementers in understanding key issues in decommissioning and waste management of new reactors from the design perspective, aiding in the licensing process and in future decommissioning and waste management activities. Topics to be addressed are the following:

Topic 1: Understanding of the functioning of major SMR technologies and Fuel Cycles
Topic 2: Transportation of fuel, used fuel and closed loop fuel cycles 
Topic 3: Regulation, streamlining and liabilities
Topic 4: Stakeholder involvement, optimisation, key considerations";Report that will list key issues in decommissioning and waste management for SMRs, an understanding of lessons learned and how issues of the past could be prevented and guidelines on key aspects for consideration when designing, deploying and implementing new nuclear technologies;TBC;;yes;;;;;;;;;yes;;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;;;;yes;;;;yes;;;;;;;;
25;Halden HTO project- Topic 4 on Human-Automation Collaboration: Human Performance in Operation of SMRs;"The main objective is to identify the possible impacts of SMR control room concepts on human performance and how these can be captured in human factors validations. Will investigate (i) the cognitive demands for monitoring SMRs; (ii) the unexpected and unintended operator behaviours that may occur; and (iii) how these aspects can be assessed in human factors validations. ";"(i) An overview of current operational concepts and facilities for development and testing to guide the direction of future studies on human performance in operation of SMRs. This to be documented in an HHTO report. 
(ii) Further development of methods to capture cognitive workload and human performance during multi-unit disturbances. ";23 December;;;yes;;;;;;;;;yes;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;;;;;;yes;;;;;;;;;
26;To explore whether more dedicated work on SMRs/AMRs is required (e.g. adequacy of Emergency Preparedness and Response plan);"Potential topical session at the 80th meeting of the CRPPH (29-31 March 2022 – dates tbc)
Discussion: Consider whether it is necessary to examine what a changing risk profile of nuclear emergencies over the next decade, notably with the development of SMRs and advanced technologies, will mean for the adequacy of current EPR plan/procedures. Could trigger some new activities for the CRPPH/Working Party on Nuclear Emergency Matters (WPNEM.";TO BE COMPLETED (TBC);TBC;;;yes;;;;;;;;;yes;;;;;Approved;Specific;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;yes;;;;;;;;
27;The CRPPH/WPNEM will contribute to the Workshop on Floating NPPs (lead by NLC) scheduled to take place at the end of 2022/early 2023;TBC;TBC;TBC;;;yes;;;;;;;;;yes;;;;;Approved;Specific;;yes;;;;;;yes;;;;yes;;;;;;;;;;;;;;;;
28;WPLANS Programme of work for 2021-2022;"Exchange information on the respective legal and administrative systems for the licensing and regulation of nuclear installations and other uses of nuclear material, including updates on case law, adjudications, national legislative and regulatory activities, and enforcement actions. Specific areas of study, among others, will be: licensing and regulation of small modular reactors (SMRs); and enforcement of nuclear safety related laws and regulations.
";Study report(s);To be completed;;;;;;yes;;;;;;;yes;;;;Approved;Specific;;yes;yes;yes;yes;yes;yes;yes;yes;yes;;yes;yes;;;;;;;;;;;;;;;
29;"Reactor Physics Benchmarks
Sodium Cooled Fast Reactors (SFRs)";"Ten experimental reactors have benchmarks related to SFR systems in the Reactor Physics Handbook (BFS-1, BFS-2, BR2, EBR-II, FFTF, JOYO, SNEAK, ZEBRA, ZPPR, ZPR) plus other physics measurements done in fast spectrum facilities.

Additional measurements on Fast Critical Assembly (FCA), Japan. 

Neutronics benchmark and uncertainty analysis on oxide and metal fast reactor systems. 

Liquid Metal Fast Reactor Thermal-Hydraulics benchmark based on Texas A&M and ORNL Thermal-Hydraulic Out-of-Reactor Safety (THORS) data";"Handbook distributed per request







Additional measurements


Updated specification with ASTRID type core data 


Benchmark specification 
";"Completed







Expected in 2022


Expected in 2022.



Expected in 2022.
Final results report expected in 2024.";;;;yes;;;;;;;;;;;yes;;Approved;Relevant;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;
30;"Reactor Physics Benchmarks
Molten Salt Reactors (MSRs)";"Fluoride High Temperature Reactor (FHR) neutronics benchmark. 

ORNL Molten Salt Reactor Experiment (MSRE) Benchmark in the Reactor Physics Handbook. 
";"Final report on Phase I 2D neutronics and depletion 

Additional measurements";Expected 2022;;;;yes;;;;;;;;;;;yes;;Approved;Relevant;yes;;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;
31;"Reactor Physics Benchmarks
Lead Cooled Fast Reactors (LFRs)
";"Neutronics benchmark and uncertainty analysis based on ALFRED. 
";Specifications;Expected 2022;;;;yes;;;;;;;;;;;yes;;Approved;Relevant;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;
32;"Material Science and Advanced Fuel Cycles
Properties of Advanced Fuels

";"Benchmark studies and recommendations on properties of oxide and metal fuels for advanced reactors

Phase 1: code-to-experiment comparison for steady-state conditions. 

Phase 2: code-to-code comparison for accident transient conditions. Results expected in 2022";"Report



Reports on results
";Expected 2022;;;;yes;;;;;;;;;;;yes;;Approved;Relevant;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;
33;"Material Science and Advanced Fuel Cycles
Thermodynamics of Advanced Fuel Systems, TAF-ID database

";"Simulation of fluoride and chloride systems for the MSR designs using EC-JRC Molten Salt Database (MSD). Available capability. 
Simulation of cladding’s corrosion induced by fission products to predict the life time of the cladding materials in SFRs. Available capability.
Extension of TAF-ID database for thermodynamic studies of LFRs with uranium nitride fuels. Discussion with partners ongoing.
";TBC;TBC;;;;yes;;;;;;;;;;;yes;;Approved;Relevant;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;
34;"Material Science and Advanced Fuel Cycles
Advanced Fuel Cycles

";"TRL assessment and identification of R&D gaps and needs to study effect of liquid metal (Pb, Pb-Bi, and Na) coolants on reactor components 

MSR chemistry for reactors and polishing/reprocessing. Activity being formed

Task Force on Demonstration of Fuel Cycle Closure including Partitioning and Transmutation for Industrial Readiness by 2050, deals with technological, economic and societal aspects of existing and emerging advanced fuel cycles and P&T technologies";"



To be completed (or N/A)



High-level report intended for governments and decision-makers

Proposal for a Joint Project on Experimental Demonstration of the Fuel Cycle Closure, under preparation
";"In preparation




To be completed (or N/A)



Expected in March 2022 


Under preparation";;;;yes;;;;;;;;;;;yes;;Approved;Relevant;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;
35;"Training and Education

NEA Nuclear Education, Skills and Technology (NEST) Framework - Small Modular Reactors (SMRs) Project
";"Project Agreement entered into force in January 2021 for three years 

Project leaders: McMaster University, Canada, and University of Michigan, United States";"2021: 2nd SMR Prize - 28 Fellows



Offers hands-on training on 
MSR technology
SMR technology, siting and economics
SMR policy, ethics and public acceptance
Ethics and social perspectives of deployment
Economics of deployment
Technology development, use and application";"Completed



2022: activities are being planned";;;;yes;;;;;;;;;;;yes;;Approved;Relevant;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;
36;CSNI Areas of Focus for SMRs support;"Expert Group to interact with other international organisations (e.g. IAEA, EC) and advise on activities to address knowledge gaps in the safety of several SMR designs of interest to CSNI members:  First meeting expected at the beginning of 2022
The expert group should provide inputs for the future CSNI PoW";TBC;TBC;yes;;;;;;;;yes;;;;;;;;Planned;Specific;yes;yes;yes;yes;yes;yes;yes;yes;;yes;;;;;;;;;;;;;;;;;;
37;CSNI/WGFS activities of potential interest for SMRs;"To better address fuel safety issues emerging from power plants operating experience and research and to investigate fuel behavior in accident situations and related safety criteria incl. for new fuel designs. 
Potential topics to be included in the Pow: Research priorities for advanced fuels/claddings, adequacy of codes and methods for fuel safety assessment ";TBC;TBC;yes;;;;;;;;yes;;;;;;;;Planned;Relevant;yes;yes;yes;yes;yes;yes;;;;;;;yes;;;;;;;;;;;;;;;
38;CSNI WGAMA activities of potential interest for SMRs;WORKSHOP: Workshop on experimental validation and application of CFD and CMFD codes to Nuclear Reactor Safety Issues (CFD4NRS-9) planned in February 2023;TBC;TBC;yes;;;;;;;;yes;;;;;;;;Planned;Relevant;yes;yes;;;;;yes;;;;;;;;;;;;;;;;;;;;;
39;CSNI WGRISK activities of potential interest for SMRs;"To improve risk-informed regulation and safety management with uses of Probabilistic Safety Assessment (PSA)
Potential topics to be included in the PoW: Strengthen the country inputs";TBC;TBC;yes;;;;;;;;yes;;;;;;;;Planned;Relevant;yes;yes;;;;;yes;;;yes;;;;;;;;;;;;;;;;;;
40;CSNI WGEV activities of potential interest for SMRs;"To improve the understanding and treatment of external hazards and to improve the effectiveness of regulatory practices
WGEV Workshop on Sources of Uncertainties in the Assessment of Natural Hazards in May 2022";Report to be finalised by the end of 2023;TBC;yes;;;;;;;;yes;;;;;;;;Planned;Relevant;yes;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;
41;Contribution of the CRPPH/WPNEM to the Workshop on Floating NPPs (lead by NLC), end of 2022/early 2023);Workshop to be held beginning of 2023 with the participation of CNRA, NDC, RWMC, CRPPH, NLC;TBC;TBC;;;yes;;;;;;;;;yes;;;;;Planned;Specific;;yes;;;;;;yes;;;;;;;;;;;;;;;;;;;;
42;Workshop on Floating NPPs;Workshop to be held beginning of 2023 with the participation of CNRA, NDC, RWMC, CRPPH, NLC addressing the legal issues in 2022 in preparation of the 2023 meeting;TBC;TBC;;;;;;yes;;;;;;;yes;;;;Planned;Specific;;yes;yes;yes;yes;yes;yes;yes;yes;;yes;;;;;;;;;;;;;;;;;
43;Next NLC meeting to be held in June 2022 or for the 2023-2024 Programme of work;Topics to be suggested: i) nuclear liability amounts applicable to SMRs in order to prepare a table to be posted on the NEA public website, ii) discussing potential legal issues raised by transportable on-land SMRs;TBC;TBC;;;;;;yes;;;;;;;yes;;;;Planned;Relevant;;yes;yes;yes;yes;yes;yes;yes;yes;;;yes;;;;;;;;;;;;;;;;
44;"Reactor Physics Benchmarks
Sodium Cooled Fast Reactors (SFRs)";"Liquid Metal Fast Reactor Thermal-Hydraulics benchmark based on Texas A&M and ORNL Thermal-Hydraulic Out-of-Reactor Safety (THORS) data
";"Benchmark specification  
Final results report expected in 2024.";TBC;;;;yes;;;;;;;;;;;yes;;Planned;Relevant;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;
45;"Reactor Physics Benchmarks
Molten Salt Reactors (MSRs)";TBC;TBC;TBC;;;;yes;;;;;;;;;;;yes;;Planned;Relevant;yes;;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;
46;"Reactor Physics Benchmarks
Lead Cooled Fast Reactors (LFRs)
";TBC;TBC;TBC;;;;yes;;;;;;;;;;;yes;;Planned;Relevant;yes;;yes;;;;;;;;;;;;;;;;;;;;;;;;;
47;"Material Science and Advanced Fuel Cycles
Properties of Advanced Fuels

";TBC;TBC;TBC;;;;yes;;;;;;;;;;;yes;;Planned;Relevant;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;
48;"Material Science and Advanced Fuel Cycles
Thermodynamics of Advanced Fuel Systems, TAF-ID database

";TBC;TBC;TBC;;;;yes;;;;;;;;;;;yes;;Planned;Relevant;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;
49;"Material Science and Advanced Fuel Cycles
Advanced Fuel Cycles

";TBC;TBC;TBC;;;;yes;;;;;;;;;;;yes;;Planned;Relevant;yes;yes;yes;yes;yes;yes;;;;;;;;;;;;;;;;;;;;;;
50;"Training and Education

NEA Nuclear Education, Skills and Technology (NEST) Framework - Small Modular Reactors (SMRs) Project
";TBC;TBC;TBC;;;;yes;;;;;;;;;;;yes;;Planned;Relevant;;yes;yes;yes;yes;yes;yes;yes;yes;yes;;;;;;;;;yes;;;;;;;;;
51;NEA Publication on Meeting Climate Change Targets: The role of nuclear energy;Including chapter on SMR Launch date in March 2022;;March 2022;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;;;;;;;;;;;yes;;;;;;;;;;yes;yes;;yes;yes;yes;yes;
52;Launch of NEA SMR Advisory Group for Industrial Applications (SMIA);Launch date in April 2022;;April 2022;;;;;yes;;;;;;;;;yes;;;Specific;Approved;;;;;;;;;;;yes;;;;;;;yes;;;yes;yes;yes;yes;yes;yes;yes;
53;SMR Sectoral Case Studies ;i) SMRs for coal retrofit, ii) Micro-SMRs to replace diesel for off-grid mining, iii) High temperature SMRs to replace fossil cogeneration for the chemicals industry, oil sands industry, and pot ash industry;;End 2022;;;;;yes;;;;;;;;;yes;;;Specific;Approved;;;;;;;;;;;yes;;;;;;;yes;;;yes;yes;yes;yes;yes;yes;yes;
54;NEA Scoping Paper on HALEU for SMR fuel;;;July 2022;;;;;yes;;;;;;;;;yes;;;Specific;Approved;;;;;;;;;;;yes;;;;yes;;;;;;yes;;;;;;;
55;NEA-IFNEC Discussion Paper on Modern Regulation for Advanced Technologies;;;Fall 2022;;;;;yes;;;;;;;;;yes;;;Specific;Planned;;;;;;;;;;;yes;yes;;;;;;;;;yes;;;;;;;
56;Joint NEA-IAEA Publication on the Role of Nuclear in Pathways to Net-Zero:;to be released at the IAEA Ministerial in October 2022;;October 2022;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;;;;;;;;;;;yes;;;;;;;;;;yes;yes;yes;yes;yes;yes;yes;
57;COP27 (Egypt) NEA engagement, including a series of SMR Technology Briefs;;;November 2022;;;;;yes;;;;;;;;;yes;;;Specific;Planned;yes;yes;yes;yes;yes;yes;;;;;yes;;;;;;;;;;yes;;;yes;;;;
58;Report on High Temperature Reactors (including SMRs):;to be released in June 2022;;June 2022;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;yes;;;;;yes;;;;;yes;;;;;;;;;;yes;;;;;;yes;
59;Report on Nuclear-produced Hydrogen:;to be released in September 2022 at CEM-13;;September 2022;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;;;;;;;;;;;yes;;;;;;yes;yes;;;;;;;;;;
60;Generation IV International Forum (GIF) Forum with Industry;Major focus on advanced SMRs at the GIF Forum with Industry in October 2022 (with G4SR, Canada’s SMR conference);;October 2022;;;;;yes;;;;;;;;;yes;;;Specific;Approved;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;
61;COP27 (Egypt) Side-event on Nuclear for Desalination (including SMRs):;On the margins of COP-27 in November 2022 (with IFNEC);;November 2022;;;;;yes;;;;;;;;;yes;;;Relevent;Planned;yes;;;;;;;;;;yes;;;;;;;;;;yes;;;;;yes;;
62;Side-event on Micro-SMRs for Mining:;at PDAC (the Prospectors and Developers Association of Canada annual conference, the largest mining conference in the world) in Spring 2023 (with IFNEC);;Spring 2023;;;;;yes;;;;;;;;;yes;;;Specific;Planned;;;;;;;;;;;;;;;;;;;;;yes;;yes;;;;;
63;Event on Nuclear for Cogeneration and District Heating (including SMRs):;in Poland in January-February 2023 (with IFNEC);;Jan-Feb 2023;;;;;yes;;;;;;;;;yes;;;Relevent;Planned;;;;;;;;;;;yes;;;;;;;;;;;;;;yes;;;
64;Advanced construction and nuclear costs aspects / Report to follow;Workshop in March 2022;;March 2022;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;
65;Digital transformation and nuclear costs aspects;Workshop in October 2021 / Report under preparation by NTE Secretariat;;;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;
66;NI2050;Innovation Advisory Panel to be launched by mid-2022;;2022;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;yes;;;;;;;;;;yes;;;;;;;;;;;;;;;;;
67; Generation IV International Forum;Technical secretariat;;Ongoing;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;yes;yes;yes;yes;yes;yes;;;;;yes;;;;;;yes;;yes;;;;;;;;;
68;The Role and Economics of Nuclear Cogeneration in a Low-Carbon Energy Future;Report to be published in April 2022;;April 2022;;;;;yes;;;;;;;;;yes;;;Relevent;Approved;;;;;;;;;;;yes;;;;;;;;;;yes;;;yes;yes;yes;yes;
