KEY;PROJECT;SMR;COMMITTEE;FLAG
25;Halden HTO project- Topic 4 on Human-Automation Collaboration: Human Performance in Operation of SMRs;Specific;CRPPH;YES
26;To explore whether more dedicated work on SMRs/AMRs is required (e.g. adequacy of Emergency Preparedness and Response plan);Specific;CRPPH;YES
27;The CRPPH/WPNEM will contribute to the Workshop on Floating NPPs (lead by NLC) scheduled to take place at the end of 2022/early 2023;Specific;CRPPH;YES
28;WPLANS Programme of work for 2021-2022;Specific;NLC;YES
29;Advance construction and nuclear costs aspects;Relevant;NDC;YES
30;Digital transformation and nuclear costs aspects;Relevant;NDC;YES
31;Seismic analysis and nuclear costs aspects;Relevant;NDC;YES
32;High temperature reactors and cogeneration applications;Relevant;NDC;YES
33;Nuclear Innovation 2050 and related activities;Specific;NDC;YES
34;Streamlining the licensing process for SMRs;Specific;NDC;YES
35;The front-end and back-end nuclear fuel cycle for SMRs;Specific;NDC;YES
36;SMR sectoral studies;Specific;NDC;YES
37;Financing for electricity systems;Relevant;NDC;YES
38;Role of nuclear in sector coupling (heat, hydrogen, mobility, desalination);Relevant;NDC;YES
39;Financial Support for Nuclear from multinational and national financial institutes;Relevant;NDC;YES
40;Market design for electricity systems;Relevant;NDC;YES
41;Efficient contractual arrangements for nuclear projects;Relevant;NDC;YES
42;"System analysis of closing the nuclear fuel cycle
";Relevant;NDC;YES
43;"Reactor Physics Benchmarks
Sodium Cooled Fast Reactors (SFRs)";Relevant;NSC;YES
44;"Reactor Physics Benchmarks
Molten Salt Reactors (MSRs)";Relevant;NSC;YES
45;"Reactor Physics Benchmarks
Lead Cooled Fast Reactors (LFRs)
";Relevant;NSC;YES
46;"Material Science and Advanced Fuel Cycles
Properties of Advanced Fuels

";Relevant;NSC;YES
47;"Material Science and Advanced Fuel Cycles
Thermodynamics of Advanced Fuel Systems, TAF-ID database

";Relevant;NSC;YES
48;"Material Science and Advanced Fuel Cycles
Advanced Fuel Cycles

";Relevant;NSC;YES
49;"Training and Education

NEA Nuclear Education, Skills and Technology (NEST) Framework - Small Modular Reactors (SMRs) Project
";Relevant;NSC;YES
50;CSNI Areas of Focus for SMRs support;Specific;CSNI;YES
51;CSNI/WGFS activities of potential interest for SMRs;Relevant;CSNI;YES
52;CSNI WGAMA activities of potential interest for SMRs;Relevant;CSNI;YES
53;CSNI WGRISK activities of potential interest for SMRs;Relevant;CSNI;YES
54;CSNI WGEV activities of potential interest for SMRs;Relevant;CSNI;YES
55;Contribution of the CRPPH/WPNEM to the Workshop on Floating NPPs (lead by NLC), end of 2022/early 2023);Specific;CRPPH;YES
56;Workshop on Floating NPPs;Specific;NLC;YES
57;Next NLC meeting to be held in June 2022 or for the 2023-2024 Programme of work;Relevant;NLC;YES
58;High temperature reactors and cogeneration applications;Relevant;NDC;YES
59;Streamlining the licensing process for SMRs;Specific;NDC;YES
60;The front-end and back-end nuclear fuel cycle for SMRs;Specific;NDC;YES
61;SMR sectoral studies;Specific;NDC;YES
62;Nuclear Innovation 2050 and related activities;Specific;NDC;YES
63;Financial Support for Nuclear from multinational and national financial institutes;Relevant;NDC;YES
64;"Reactor Physics Benchmarks
Sodium Cooled Fast Reactors (SFRs)";Relevant;NSC;YES
65;"Reactor Physics Benchmarks
Molten Salt Reactors (MSRs)";Relevant;NSC;YES
66;"Reactor Physics Benchmarks
Lead Cooled Fast Reactors (LFRs)
";Relevant;NSC;YES
67;"Material Science and Advanced Fuel Cycles
Properties of Advanced Fuels

";Relevant;NSC;YES
68;"Material Science and Advanced Fuel Cycles
Thermodynamics of Advanced Fuel Systems, TAF-ID database

";Relevant;NSC;YES
69;"Material Science and Advanced Fuel Cycles
Advanced Fuel Cycles

";Relevant;NSC;YES
70;"Training and Education

NEA Nuclear Education, Skills and Technology (NEST) Framework - Small Modular Reactors (SMRs) Project
";Relevant;NSC;YES
